Key,	Translation
configuration:settings:interface,	Rozhranie
configuration:settings:max_cpu,	Maximálny procesor
configuration:settings:max_memory,	Maximálna pamäť
configuration:settings:name,	Názov
configuration:settings:name_required,	Vyžaduje sa názov
configuration:settings:network_address_required,	Vyžaduje sa sieťová adresa
configuration:settings:network_interface_required,	Vyžaduje sa sieťové rozhranie
configuration:settings:notification,	Oznámenie
configuration:settings:rpi_pwm_freq,	PWM frekvencia
configuration:settings:use_https,	Použiť HTTPS
configuration:tab:about,	Načítať
configuration:tab:admin,	Správca
configuration:tab:authentication,	Overenie
configuration:tab:connectors,	Konektor
configuration:tab:drivers,	Ovládač
configuration:tab:errors,	Chyba
configuration:tab:settings,	Nastavenie
configuration:tab:telemetry,	Grafy
cron:day_of_month,	Deň v mesiaci
cron:hour,	Hodina
cron:minute,	Minúta
cron:month,	Mesiac
cron:second,	Sekundy
cron:week,	Týždeň
dashboard:back_to_dashboard,	Späť na panel
fatal_error:connection_lost,	Pripojenie stratené
fatal_error:fatal_error,	Závažná chyba
fatal_error:message,	Možno bude potrebné reštartovať webový server alebo urobiť nejaké riešenie.
fatal_error:troubleshoot,	Riešenie problémov
health_chart:cpu_memory,	CPU/Pamäť
language:de,	Nemčina
language:en,	Angličtina
language:es,	Španielčina
language:fa,	Čínština
language:fr,	Francuština
language:hi,	Hindčina
language:it,	Taliančina
language:language,	Jazyk
language:nl,	Norština
language:pt,	Portulgačina
language:zh,	Čínština
lighting:channel_name,	Názov kanála
log:content,	Obsah
log:emitter,	Zariadenie
log:time,	Čas
log:type,	Typ
ph:alert_above,	Upozornenie vyššie
ph:alert_below,	Upozornenie nižšie
ph:analog_input_required,	Vyžaduje sa analógový vstup
ph:calibrate,	Kalibrácia
ph:chart:current,	PH(aktuálne)
ph:chart:historical,	PH(Priemerné)
ph:chart_color,	Farba
ph:chart_unit,	Jednotka
ph:chart_ymax,	Max
ph:chart_ymin,	Min
ph:check_frequency,	Kontrola frekvencie
ph:control,	Kontrola
ph:control_required,	Kontrola
ph:controlequipment,	Zásuvky
ph:controlmacro,	Makro
ph:controlnothing,	Žiadne
ph:current_reading,	Aktuálne čítanie
ph:lower_function,	Dolná funkcia
ph:lower_function_required,	Vyžaduje sa nižšia funkcia
ph:lower_threshold,	Dolná hranica
ph:lower_threshold_less_than,	Dolná hranica musí byť menšia ako horná hranica
ph:lower_threshold_required,	Vyžaduje sa dolná prahová hodnota
ph:lower_threshold_type,	Dolná hranica musí byť číslo
ph:midpoint,	Stredný bod
ph:name_required,	Vyžaduje sa názov
ph:period_min,	Frekvencia kontroly musí byť 1 sekunda alebo väčšia
ph:period_required,	Vyžaduje sa frekvencia kontroly
ph:period_type,	Kontrola frekvencie musí byť číslo
ph:run_calibration,	Spusť kalibráciu
ph:second_point,	Druhý bod
ph:status_required,	Vyžaduje sa stav
ph:threshold_greater_than,	Prahová hodnota musí byť vyššia ako  výstraha vyššie
ph:threshold_less_than,	Dolné varovanie musí byť menšie ako horné varovanie
ph:threshold_required,	Po aktivácii výstrah sú potrebné limity
ph:threshold_type,	Upozornenie nižšie musí byť menšia ako upozornenie vyššie
ph:upper_function,	Horná funkcia
ph:upper_function_required,	Vyžaduje sa horná funkcia
ph:upper_threshold,	Horná hranica
ph:upper_threshold_greater_than,	Vyžaduje sa horná hranica
ph:upper_threshold_required,	Vyžaduje sa horný prah
ph:upper_threshold_type,	Horná hranica musí byť číslo
ph:validation_error,	Nastavenia Ph nie je možné uložiť z dôvodu chýb overenia opravte chyby a skúste to znova.
ph:warn_delete,	Odstránenie nastavenia
pins:Pins,	Piny
signin:invalidcredentials,	Neplatné poverenie
signin:password,	Heslo
signin:signin,	Prihlásiť sa
signin:username,	Meno použivateľa
telemetry:main:current-limit,	Aktuálny limit
telemetry:main:email-alerts,	Odosielanie limitov cez email
telemetry:main:historical-limit,	Historický limit
telemetry:main:limit-per-hour,	Limit za hodinu
telemetry:main:send-test-message,	Odoslať testovaciu správu
telemetry:notification:from,	Od
telemetry:notification:password,	Heslo
telemetry:notification:port,	Port
telemetry:notification:server,	Server
telemetry:notification:to,	Notifikácia
temperatur:controlnothing,	Žiadne kontrola
temperature:calibrate,	Kalibrácia
temperature:calibration:apply,	Použiť
temperature:calibration:set_temperature,	Nastavte teplotu
temperature:celsius,	Celzia
temperature:chart:current,	Teplota(aktuálna)
temperature:chart:historical,	Teplota(Priemerná)
temperature:chart_color,	Farba grafu
temperature:chart_ymax,	Maximálna hodnota grafu
temperature:chart_ymin,	Minimálny graf
temperature:control,	Ovládanie
temperature:controlequipment,	Použitie
temperature:controlmacro,	Makro
temperature:current_reading,	Aktuálne dáta
temperature:fahrenheit,	Fahrenheit
temperature:heater_cooler,	Ohrievač/Chladenie
temperature:hysteresis_less_than,	Hysteréza je menšia ako prijateľná prahová hodnota
temperature:lower_function,	Ohrievač
temperature:lower_threshold,	Prahová hodnota ohrievača
temperature:sensor,	Senzor
temperature:temperature,	Templota
temperature:upper_function,	Chladenie
temperature:upper_threshold,	Limit chladenia
temperature:validation_error,	Nastavenia teploty nie je možné uložiť z dôvodu chýb overenia. Opravte chyby a skúste to znova.vvuevo.
temperature:warn_delete,	Táto akcia odstráni
timers:after,	Neskôr
timers:and_then,	A potom
timers:day_required,	Vyžaduje sa deň
timers:duration_required,	Trvanie
timers:equipment,	Použitie
timers:equipment:off,	Vypnuté
timers:equipment:on,	Zapnuté
timers:equipment:revert,	Späť
timers:equipment_action,	Akcia
timers:equipment_required,	Vyžaduju sa zásuvky
timers:function,	Funkcia
timers:hour_required,	Vyžaduje sa hodina
timers:macro,	Názov makra
timers:macros, Makro
timers:message,	Správa
timers:message_required,	Vyžaduje sa hlásenie
timers:minute_required,	Vyžaduje sa minúta
timers:name_required,	Zadať názov
timers:on_required,	Vyžaduje sa
timers:reminder,	Upozornenie
timers:sec,	Sekunda
timers:second_required,	Vyžaduje sa druhá
timers:stay_off,	Vypnuté
timers:stay_on,	Zapnuté
timers:subject,	Názov
timers:subject_required,	Zadať názov
timers:timer_status_required,	Stav časovača
timers:turn_back_off,	Vráťte sa do vypnutia
timers:turn_back_on,	Vrátiť späť
timers:turn_off,	Vypnuté
timers:turn_on,	Zapnuté
timers:type_required,	Zadať typ
timers:validation_error,	Nastavenia časovača nie je možné uložiť z dôvodu chýb overenia opravte chyby a skúste to znova.
